,,,role,target,hate_speech,verbal_abusehumor,
[11:37:41 AM], <Julie-Harceleur>, frere tas vu ta main tu t'es tatoué avec de la lmerde,,,,,
[11:37:48 AM], <Fatimah-Victime>, julie mais retourne dans ta campagne a baiser les chèvre bouzeuse,,,,,
[11:37:57 AM], <Pauline-Conciliateur>, pauvre chevre,,,,,
[11:38:31 AM], <Léo-Soutien-Harceleur>, Fatimah-Victime bah c'est àa dégueule au lieu d'causer là,,,,,
[11:38:33 AM], <Fatimah-Victime>, en fait t'es juste trop jalouse,,,,,
[11:38:33 AM], <Léo-Soutien-Harceleur>, Stp,,,,,
[11:38:49 AM], <Coralie-Soutien-Victime>, c'est magnifique, dommage que tu nois jalouse de fatimah ,,,,
[11:38:50 AM], <Fatimah-Victime>, de rien de rien retourne bouffé ton popcorn mec,,,,,
[11:39:00 AM], <Julie-Harceleur>, jalouse de tya peau mi jaune mi marron,,,,,
[11:39:01 AM], <Pierre-Soutien-Victime>, mais cest une sale jalouse elle a rien a faire de sa vie et ta peau blanche a toi,,,,,
[11:39:23 AM], <Fatimah-Victime>, ben ouais, jcrois qu't'es jalouse de ma peau,,,,
[11:39:27 AM], <Julie-Harceleur>, jalouse de quoi mon pote tu me dégoute,,,,,
[11:39:27 AM], <Pauline-Conciliateur>, elle manque peut etre juste d'amour non ? tu veux un calin ?,,,,,
[11:39:29 AM], <Léo-Soutien-Harceleur>, julie m'fait marrer toi t'es là t'es juste chiante wsh,,,,,
[11:39:34 AM], <Coralie-Soutien-Victime>, t'es blanche comme un cul tyu crois t'es mieux julie ?,,,,,
[11:39:38 AM], <Fatimah-Victime>, normal quand on voit la tienne, toute blanche (euh pardon rouge sous le soleil)j'aurai honte moi,,,,
[11:39:51 AM], <Coralie-Soutien-Victime>, Eh vzy 1v1 demain julie jv bz,,,,,
[11:39:55 AM], <Fatimah-Victime>, une vraie babtou,,,,,
[11:40:00 AM], <Julie-Harceleur>, carolie tes de quelle couleur toi lol,,,,,
[11:40:07 AM], <Pauline-Conciliateur>, ridiculus,,,,,
[11:40:13 AM], <Coralie-Soutien-Victime>, moi jsuis noire c'est encore mieux,,,,,
[11:40:29 AM], <Fatimah-Victime>, prends ça julie,,,,,
[11:40:32 AM], <Julie-Harceleur>, comme la femme qui lave mes chiottes,,,,,
[11:40:50 AM], <Fatimah-Victime>, tu confinds avec ta reum la,,,,,
[11:40:56 AM], <Léo-Soutien-Harceleur>, Vazy Fatimah avec ton henné là on croirait tu t'es doigtée qd t'avais tes règles srx,,,,,
[11:40:57 AM], <Coralie-Soutien-Victime>, yes,,,,,
[11:41:03 AM], <Fatimah-Victime>, tu confonds avec ta reum la,,,,,
[11:41:06 AM], <Léo-Soutien-Harceleur>, Ca fait dégueulasse,,,,,
[11:41:23 AM], <Fatimah-Victime>, Leo parle pas de ceque tu connais pas puceau,,,,,
[11:41:43 AM], <Pauline-Conciliateur>, dégueu :'),,,,,
[11:41:43 AM], <Julie-Harceleur>, le traite pas de puceau y ta bz dans les chiotte,,,,,
[11:41:47 AM], <Coralie-Soutien-Victime>, va doigter ta mere toi ,,,,,
[11:41:59 AM], <Julie-Harceleur>, comme la moitié des mecs,,,,,
[11:42:02 AM], <Pauline-Conciliateur>, laissez les daronnes tranquilles svp,,,,,
[11:42:11 AM], <Coralie-Soutien-Victime>, va doigter ta mere toi ,,,,,
[11:42:16 AM], <Julie-Harceleur>, tu respect même pas ta relion t'es une szlope,,,,,
[11:42:32 AM], <Pauline-Conciliateur>, bah va fist ton pere alors,,,,,
[11:42:35 AM], <Coralie-Soutien-Victime>, tu la connais meme pas sale pute,,,,,
[11:42:40 AM], <Léo-Soutien-Harceleur>, Tkt même pas que j'm'y connais et les meufs comme toi ça dégage, j'touche pas aux choses sales,,,,
[11:42:46 AM], <Julie-Harceleur>, MON PERE IL EST MORT,,,,,
[11:42:47 AM], <Pierre-Soutien-Victime>, tu connais rien et tu parle de religion,,,,,
[11:42:55 AM], <Coralie-Soutien-Victime>, bien fait xD c'est toi tes sale jsuis sure qtu suces  la chatte de ta mere ,,,,,
[11:43:55 AM], <Julie-Harceleur>, écoute moi bien billi boy la dernière fois qu'un mec m'a dit ça il habitait en face d'un cimetière, maintenant il habit(e en face de chez lui,,,,
[11:43:55 AM], <Fatimah-Victime>, devant ton père,,,,,
[11:44:06 AM], <Pauline-Conciliateur>, XD,,,,,
[11:44:09 AM], <Léo-Soutien-Harceleur>, En vrai j'dis pas mais julie elle a grv raison, en fait tu caches bien ton jeu Fatimah,,,,
[11:44:11 AM], <Pauline-Conciliateur>, EXCELLENT pepite,,,,,
[11:44:16 AM], <Fatimah-Victime>, julie la fausse punchline,,,,,
[11:44:25 AM], <Coralie-Soutien-Victime>, tu ft pitié julie,,,,,
[11:44:27 AM], <Léo-Soutien-Harceleur>, Tu fais genre t'es religieuse et tt mais les meufs comme vous on sait ce que ça fait en planque après les cours,,,,,
[11:44:52 AM], <Fatimah-Victime>, mais c'est vous qui avez un pb avec la religion,,,,,
[11:44:54 AM], <Pierre-Soutien-Victime>, tu fait pitié,,,,,
[11:45:01 AM], <Coralie-Soutien-Victime>, qu'es ce que t'y connais toi,,,,,
[11:45:02 AM], <Fatimah-Victime>, c'est toi qu'en parle tout le temps moi juste, jvis ma vie,,,,
[11:45:25 AM], <Coralie-Soutien-Victime>, les religieux sont bien plus eduqués que vous déja ,,,,,
[11:45:27 AM], <Fatimah-Victime>, ouais vzy, explique toi,,,,
[11:45:34 AM], <Pierre-Soutien-Victime>, grave,,,,,
[11:45:39 AM], <Léo-Soutien-Harceleur>, Bah retourne faire ta vie en Algérie stp,,,,,
[11:45:40 AM], <Fatimah-Victime>, dite nous julie et LeoSoutienduharc ,,,,,
[11:45:43 AM], <Coralie-Soutien-Victime>, eux ils sucent pas des grosses bites a longueur de journee,,,,,
[11:46:00 AM], <Pauline-Conciliateur>, chacun vis comme il a envie t'as pas a te mele de ce quil fait c'est juste nul et puérile en fait,,,,,
[11:46:20 AM], <Julie-Harceleur>, cool,,,,,
[11:46:41 AM], <Pauline-Conciliateur>, commence pas a souler toi tu sers a rien ,,,,,
[11:46:41 AM], <Julie-Harceleur>, (ça devient relou),,,,,
[11:46:51 AM], <Fatimah-Victime>, ben c'toi qu'a commencé meuf,,,,,
[11:46:54 AM], <Pauline-Conciliateur>, (ouais mdr),,,,,
[11:46:59 AM], <Fatimah-Victime>, moi j'avais rien demandé,,,,,
[11:47:00 AM], <Coralie-Soutien-Victime>, de ouf apres tu te plaint ,,,,,
[11:47:01 AM], <Léo-Soutien-Harceleur>, (tkt j'suis d'acc mais ils assument r),,,,,
[11:47:07 AM], <Coralie-Soutien-Victime>, assume enft,,,,,
[11:47:07 AM], <Julie-Harceleur>, ta grosse mere la pute je vais tenculer dans ton berceau tume connaispas moi,,,,,
[11:47:20 AM], <Fatimah-Victime>, grosse gamine ouèch,,,,,
[11:47:23 AM], <Pauline-Conciliateur>, oublie pas de lui enfoncer le biberon ,,,,,
[11:47:24 AM], <Julie-Harceleur>, jsuuis une folle moi,,,,,
[11:47:29 AM], <Léo-Soutien-Harceleur>, mdrrrrrrrrrrrrrrr,,,,,
[11:47:40 AM], <Coralie-Soutien-Victime>, ohhhh viens essaie mon cul il s'ouvre pas pour toi dsl,,,,,
[11:47:43 AM], <Julie-Harceleur>, pauline tu devais nous réconciller lol,,,,,
[11:47:43 AM], <Fatimah-Victime>, la meuf se lache, elle crois quoi,,,,
[11:48:02 AM], <Pauline-Conciliateur>, je m'ennuis ,,,,,
[11:48:05 AM], <Julie-Harceleur>, MOI JVOUS BZ MOI,,,,,
[11:48:08 AM], <Pauline-Conciliateur>, j'ai la dalle,,,,,
[11:48:08 AM], <Julie-Harceleur>, JSUIS UBNE FOLLE MOI TA MERE LA PUTEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE,,,,,
[11:48:18 AM], <Pierre-Soutien-Victime>, tu va rien faire sal;e folle,,,,,
[11:48:18 AM], <Léo-Soutien-Harceleur>, Bahahaha elle me fume cette meuf xD,,,,,
[11:48:25 AM], <Coralie-Soutien-Victime>, on sais qtes folle sale pute,,,,,
[11:48:31 AM], <Julie-Harceleur>, CE WEEK END JE VOIS TITI oups,,,,,
[11:48:40 AM], <Pauline-Conciliateur>, cramer,,,,,
[11:48:45 AM], <Julie-Harceleur>, zut alors,,,,,
[11:48:53 AM], <Julie-Harceleur>, ct pas fait expres,,,,,
[11:49:04 AM], <Coralie-Soutien-Victime>, bon allez julie et leo retournez chez vos meres et laissez fatimah tranquille ,merci,,,,
[11:49:28 AM], <Pierre-Soutien-Victime>, aller by,,,,,
[11:49:36 AM], <Julie-Harceleur>, fatima je  la fait cuire en bropchette,,,,,
[11:49:40 AM], <Léo-Soutien-Harceleur>, Et Fatimah-Victime elle retourne dans son harem c'est ça ?,,,,,
[11:49:46 AM], <Julie-Harceleur>, bisous enh realité je vous aime damour,,,,,
[11:49:52 AM], <Fatimah-Victime>, mais c'est toi,,,,,
[11:49:52 AM], <Coralie-Soutien-Victime>, non elle reste en france ,,,,,
[11:49:56 AM], <Julie-Harceleur>, fatima excuise moi jame pas ce role,,,,,
[11:49:56 AM], <Fatimah-Victime>, va tfaire cuire le cul julie,,,,,
[11:50:07 AM], <Pauline-Conciliateur>, fait gaffe je sais comment dissoudre un corps humain et j'ai toujours un sac poubelle sur moi :)),,,,,
[11:50:25 AM], <Julie-Harceleur>, fatima tas besoin que je théberge que je fasse tes courses un massage aux pieds,,,,,
[11:50:37 AM], <Coralie-Soutien-Victime>, je vais t'aider pauline jsais comment cacher un corps,,,,,
[11:50:50 AM], <Pauline-Conciliateur>, ouais aides moi ! prends de l'acide mdr,,,,,
[11:51:03 AM], <Coralie-Soutien-Victime>, ouais tkt,,,,,
[11:51:12 AM], <Julie-Harceleur>, beh en réalité tu fais bouffer le corps a un porc ça bouffe tout,,,,,
[11:51:27 AM], <Fatimah-Victime>, vous vous etes cru dans un mauvais film americain lol,,,,,
[11:51:33 AM], <Pauline-Conciliateur>, donne le a fatimah T-T,,,,,
[11:51:36 AM], <Julie-Harceleur>, du coup la on s'allie tous pour tuer qlqn mlais qui,,,,,
[11:51:38 AM], <Coralie-Soutien-Victime>, bah va le bouffer alors tu va te regaler julie,,,,,
[11:51:47 AM], <Julie-Harceleur>, DESCEND,,,,,
[11:51:47 AM], <Coralie-Soutien-Victime>, bah toi conasse,,,,,
[11:51:56 AM], <Julie-Harceleur>, MOI ?,,,,,
[11:52:04 AM], <Coralie-Soutien-Victime>, OUI BB,,,,,
[11:52:05 AM], <Julie-Harceleur>, on fait un vote a main levé pour moi ?,,,,,
[11:52:13 AM], <Fatimah-Victime>, ben pas besoin,,,,,
[11:52:14 AM], <Coralie-Soutien-Victime>, YES,,,,,
[11:52:15 AM], <Julie-Harceleur>, (y) (y) ,,,,,
[11:52:18 AM], <Fatimah-Victime>, tu perds, t'es morte :-p,,,,
[11:52:26 AM], <Coralie-Soutien-Victime>, QUI VOTE POUR TUER JULIE ,,,,,
[11:52:26 AM], <Fatimah-Victime>, (y) ,,,,,
[11:52:28 AM], <Pierre-Soutien-Victime>, (y) ,,,,,
[11:52:30 AM], <Fatimah-Victime>, (y),,,,,
