,,,role,target,hate_speech,verbal_abuse,humor
julie,11:12:17 AM, laisser la,victim_support,none,no,none,no
theo70,11:12:21 AM, t'es ma pote mais la t'abuses,conciliator,none,no,none,no
paulineee,11:12:21 AM, qui me l'interdit encore une fois,bully,none,no,none,no
julie,11:12:28 AM,  ya pas a pas avoir de vie comme ca,victim_support,none,no,none,no
theo70,11:12:37 AM, ouais tu perds ton temps en vrai,conciliator,none,no,none,no
julie,11:12:43 AM, sors fait un truc remet toi en question seule misk,victim_support,none,no,none,no
paulineee,11:12:48 AM, vous comprenez rien a la vie c chaud,bully,victim/victim_support,no,aggression-other,no
Teresa,11:12:54 AM, c toi lio,victim_support,none,no,none,no
julie,11:12:55 AM, tu fais pitier,victim_support,none,no,aggression-other,no
Teresa,11:12:57 AM, lol,victim_support,none,no,none,yes
theo70,11:13:08 AM, vas-y c'est bon ca te sert a rien d'avoir la haine comme ça,conciliator,none,no,none,no
FatimaVictime,11:13:11 AM, tas aucun argument pauline,victim,none,no,none,no
theo70,11:13:13 AM, j'te parle sérieux,conciliator,none,no,none,no
paulineee,11:13:38 AM, tkt pas pour moi,bully,none,no,none,no
FatimaVictime,11:13:40 AM, tu vois bien que tout le monde pense que ça craint ce que t'as fait pauline,victim,none,no,none,no
paulineee,11:13:51 AM, va dodo c mieux,bully,victim,no,aggression-other,no
theo70,11:14:10 AM, toi aussi jppp laisse la,conciliator,none,no,none,no
Nicolas87,11:14:37 AM, salut salut,bully_support,none,no,none,no
paulineee,11:14:40 AM, ta gacher le voyage en plus de tout,bully,victim,no,blaming,no
Nicolas87,11:14:46 AM, je suis de retour les suceurs,bully_support,none,no,name_calling,no
FatimaVictime,11:14:55 AM, d'où j'ai gâché c'est toi qui gache tout,victim,bully,no,aggression-other,no
theo70,11:15:03 AM, viens on revise le mana c mieux lol,conciliator,none,no,none,yes
paulineee,11:15:07 AM, ta pas ta place,bully,victim,no,denigration,no
Nicolas87,11:15:07 AM, enfant gacher,bully_support,victim,no,denigration,no
theo70,11:15:08 AM, tu perds ton temps,conciliator,none,no,none,no
FatimaVictime,11:15:15 AM, theo t'as raison...,victim,none,no,none,no
paulineee,11:15:15 AM, toi aussi,bully,none,no,none,no
pierre63,11:15:20 AM, jgvhuv l;g,bully_support,none,no,none,no
Nicolas87,11:15:40 AM, combien?,bully_support,none,no,none,no
julie,11:15:46 AM," srx la on va parler du faites que vous etes 3 a pas avoir de vies et vous vous dechainez sur une meuf qui a rien demander sur c'est origine qui a les meme droits que vous et qui esseye juste de pas creuver avec faut insulte allez tous passer sous un pont , et vous irrai mieux",victim_support,bully/bully_support,no,aggression-other,no
Teresa,11:16:01 AM, bien sur julie,victim_support,none,no,none,no
theo70,11:16:05 AM, julie jtm,conciliator,none,no,none,no
Nicolas87,11:16:06 AM, c bien bon toutou,bully_support,victim_support,no,aggression-other,no
paulineee,11:16:12 AM, pffffff,bully,none,no,none,no
paulineee,11:16:20 AM, PTDR,bully,none,no,none,yes
theo70,11:16:21 AM, pauline t'as trop la rage,conciliator,none,no,none,no
Nicolas87,11:16:28 AM, julie elle est un peu trop à l'aise avce les bangalas,bully_support,victim_support,no,aggression-other,no
theo70,11:16:30 AM, detend tes nerfs 0 vanne,conciliator,none,no,none,no
pierre63,11:16:31 AM, les fautes d'orthographe julie..,bully_support,victim_support,no,denigration,no
paulineee,11:16:40 AM, jai 0nerfs,bully,none,no,none,no
Nicolas87,11:16:40 AM, dose julie,bully_support,none,no,none,no
pierre63,11:16:40 AM, ca passe po,bully_support,none,no,none,no
FatimaVictime,11:16:54 AM, nicolas frustré d'être face à quelqu'un de plus intelligent ?,victim,bully_support,no,denigration,no
paulineee,11:17:03 AM, chacun a la bonne place c tout,bully,none,no,none,no
Nicolas87,11:17:04 AM, ah bon ???,bully_support,none,no,none,no
julie,11:17:05 AM, vasi jle prend vraiment pour moi bonnnnn,victim_support,none,no,none,no
theo70,11:17:14 AM, pauline stop vsy,conciliator,none,no,none,no
Nicolas87,11:17:19 AM, comment une étrangère peut etre plus intellignet que moi,bully_support,victim,yes,denigration,no
theo70,11:17:20 AM, on a tous notre place autan toi qu'elle,conciliator,none,no,none,no
pierre63,11:17:39 AM, theo le justicier de merde mddrr,bully_support,conciliator,no,aggression-other,yes
paulineee,11:17:44 AM, grv,bully,none,no,none,no
Nicolas87,11:17:44 AM, baahahahahahaahahahaha pierre t qui,bully_support,none,no,none,yes
FatimaVictime,11:17:55 AM," yes, toi t'as 2 de qi",victim,bully_support,no,denigration,no
paulineee,11:17:56 AM, des clowns,bully,none,no,none,no
Nicolas87,11:18:10 AM, Je rachete ta famille,bully_support,victim,no,denigration,no
theo70,11:18:13 AM, ptddrrr tg pierre tu viens au foot apres?,conciliator,bully_support,no,aggression-other,yes
paulineee,11:18:32 AM, le rapport mv ??,bully,none,no,none,no
pierre63,11:18:35 AM, non j'ai hand mv,bully_support,none,no,none,no
julie,11:18:42 AM, tg,victim_support,bully,no,aggression-other,no
Nicolas87,11:18:47 AM, evite tuy passes pour un gay,bully_support,bully_support,yes,denigration,no
theo70,11:18:47 AM, mais t'es relou ya match jppp,conciliator,none,no,none,no
pierre63,11:18:50 AM, ntm tu c pa ekrire,bully_support,none,no,none,no
julie,11:18:52 AM, tg,victim_support,bully_support,no,aggression-other,no
paulineee,11:19:04 AM, r a voir mais tkt ya pas a esquiver,bully,none,no,none,no
FatimaVictime,11:19:10 AM, laissez moi tranquille,victim,none,no,none,no
Nicolas87,11:19:13 AM, nan,bully_support,none,no,none,no
theo70,11:19:14 AM, pauline on s'en blc là,conciliator,none,no,none,no
Nicolas87,11:19:15 AM, c ciao,bully_support,none,no,none,no
paulineee,11:19:16 AM, pk,bully,none,no,none,no
Nicolas87,11:19:22 AM, je vais m'occuper de ton cas,bully,none,no,none,no
theo70,11:19:27 AM, t'es cool de base mais là t'abuses,conciliator,none,no,none,no
Nicolas87,11:19:30 AM, petite boubou,bully_support,none,no,none,no
paulineee,11:19:34 AM, tu decois..,bully,none,no,none,no
FatimaVictime,11:19:40 AM, nicolas et pauline les gros racistes,victim,none,no,none,no
julie,11:19:42 AM, fatima tu peux te défendre seule ?,victim_support,none,no,none,no
theo70,11:19:43 AM, mddrrr dit-elle,conciliator,none,no,none,yes
Nicolas87,11:19:44 AM, reel que les blancs ici,bully_support,none,no,none,no
julie,11:19:57 AM, jchuis francaises moi,victim_support,none,no,none,no
paulineee,11:20:00 AM, pff aller,bully,none,no,none,no
Nicolas87,11:20:01 AM, pas les modos discords ici,bully_support,none,no,none,no
theo70,11:20:02 AM, c'est toi tu decois en vrai,conciliator,none,no,none,no
pierre63,11:20:09 AM, moa aussi jle suis meuf,bully_support,none,no,none,no
paulineee,11:20:16 AM, ta bien  changer le s,bully,none,no,none,no
julie,11:20:30 AM, breff vasi quitte fatima ca irra mieux,victim_support,none,no,none,no
Nicolas87,11:20:32 AM, allez ciao,bully_support,none,no,none,no
julie,11:20:34 AM, oublie c'est gens,victim_support,none,no,none,no
theo70,11:20:35 AM, vas-y juste soit cool avec elle,conciliator,none,no,none,no
paulineee,11:20:46 AM, defaite,bully,none,no,none,no
FatimaVictime,11:21:01 AM, c'est toi qui pue la défaite,victim,bully,no,denigration,no
paulineee,11:21:11 AM, parle pas avec moi stp utilise tes gardes du corps,bully,none,no,none,no
FatimaVictime,11:21:25 AM, si tu retire ma photo ouais je veux bien plus jamais te parler,victim,none,no,none,no
theo70,11:21:35 AM, mdrr vas-y casse toi retiree la photo c'est bon,conciliator,none,no,none,yes
paulineee,11:21:49 AM, jte prend un billet aussi au passage ? oublie pas ton voile,bully,victim,yes,aggression-other,no
pierre63,11:22:30 AM, il est pas dans ma poche,bully_support,none,no,none,no
theo70,11:22:33 AM, ca svoit t'es pour zemmour,conciliator,none,no,none,no
FatimaVictime,11:22:37 AM, ouais au moins je verrai plus ta tronche si j'ai un voile,victim,bully,no,aggression-other,no
paulineee,11:22:52 AM, carrement theo et alors ? 0 intelligence fatima,bully,victim,no,denigration,no
julie,11:23:40 AM, cool,victim_support,none,no,none,no
theo70,11:23:52 AM, vsy mais t'es relou avec fati,conciliator,none,no,none,no
julie,11:24:01 AM, paupau tg et l'autre autre kiss kiss,victim_support,bully/bully_support,no,aggression-other,no
FatimaVictime,11:24:14 AM, tu crois que tu l'es ? on s'en fiche de zemmour,victim,none,no,none,no
theo70,11:24:14 AM, genre t'es la tu l'insultes ca en devient genant carrement chacun son opinion juste respecte c tout,conciliator,none,no,none,no
FatimaVictime,11:24:36 AM, voila exactement t'es genante pauline,victim,bully,no,aggression-other,no
paulineee,11:24:37 AM, bv bv,bully,none,no,none,no
FatimaVictime,11:24:50 AM, enlève ma photo et laisse moi tranquille,victim,none,no,none,no
theo70,11:25:01 AM, on te demande pas plus frr,conciliator,none,no,none,no
paulineee,11:25:02 AM, en quel honneur?,bully,none,no,none,no
julie,11:25:05 AM, tkt ma vie,victim_support,none,no,none,no
theo70,11:25:10 AM, t'es une gamine,conciliator,bully,no,aggression-other,no
paulineee,11:25:27 AM, c'est q'une photo,bully,none,no,none,no
theo70,11:25:34 AM, met toi a sa place t'aurai réagi comment toi ?,conciliator,none,no,none,no
paulineee,11:25:49 AM, oui mais j'y suis pas donc,bully,none,no,none,no
julie,11:25:51 AM, mets toi a ca place sans le voile mrc,victim_support,none,no,none,no
FatimaVictime,11:25:52 AM, l'honneur que tu me laisse tranquille et que t'aille voter zemmour dans ton coin sans lâcher tes idées puantes au lycée,victim,bully,no,aggression-other,no
Nicolas93,11:26:08 AM, salut salut,bully_support,none,no,none,no
paulineee,11:26:10 AM, cool,bully,none,no,none,no
julie,11:26:12 AM, fatima parle pas de politique,victim_support,none,no,none,no
Nicolas93,11:26:12 AM, j'etais ban,bully_support,none,no,none,no
theo70,11:26:15 AM, ptddrr si elle veut zemmour c tranquille,conciliator,none,no,none,yes
theo70,11:26:22 AM, juste voile ou pas c'est pareil,conciliator,none,no,none,no
julie,11:26:46 AM, same,victim_support,none,no,none,no
Nicolas93,11:26:47 AM, moi j'harcele,bully_support,none,no,none,no
Nicolas93,11:27:00 AM, nahahahahahaahh,bully_support,none,no,none,no
paulineee,11:27:04 AM, oula bande de fou,bully,victim/victim_support,no,name_calling,no
Teresa,11:27:07 AM, mdrrr,victim_support,none,no,none,yes
paulineee,11:27:32 AM, mais what,bully,none,no,none,no
Nicolas93,11:27:32 AM, t malade pas de ca ici,bully_support,none,no,none,no
pierre54,11:27:37 AM, koran de la meke,bully_support,none,no,none,no
theo70,11:27:44 AM, t'abuses frr,conciliator,none,no,none,no
julie,11:27:47 AM, on reste trq,victim_support,none,no,none,no
Nicolas93,11:27:53 AM, ou ou haha,bully_support,none,no,none,yes
Nicolas93,11:28:01 AM, cela etait le bruit des singes,bully_support,none,no,none,no
paulineee,11:28:10 AM, ptdrrrrrr,bully,none,no,none,yes
theo70,11:28:19 AM, et aller marie qui s'y met,conciliator,none,no,none,no
paulineee,11:28:30 AM, marie mv,bully,none,no,none,no
julie,11:28:33 AM, marie tu peux partir cordialement,victim_support,none,no,none,no
Nicolas93,11:28:37 AM, marie mv <3333333,bully_support,none,no,none,no
paulineee,11:28:48 AM, elle a ses droits,bully,none,no,none,no
theo70,11:28:54 AM, mettez vous a sa place wsh,conciliator,none,no,none,no
Nicolas93,11:28:58 AM, le droit de faire la cuisine,bully_support,victim,yes,aggression-other,no
theo70,11:29:00 AM, vous etes des chiens,conciliator,bully/bully_support,no,name_calling,no
FatimaVictime,11:29:12 AM, ils s'en fichent ils veulent juste m'insulter gratuitement et être des racistes de merde,victim,bully/bully_support,no,aggression-other,no
julie,11:29:23 AM, bas pars,victim_support,none,no,none,no
theo70,11:29:23 AM, calcule pas,conciliator,none,no,none,no
Nicolas93,11:29:29 AM, ^ptdrrrrrrrrrrrr,bully_support,none,no,none,yes
paulineee,11:29:30 AM, la societé de nos jours mv....,bully,none,no,none,no
theo70,11:29:42 AM, vsy pauline c bon tu  t'es bien amusé la,conciliator,none,no,none,no
paulineee,11:30:00 AM, bien vu,bully,none,no,none,no
theo70,11:30:34 AM, ridicule,conciliator,none,no,none,no
FatimaVictime,11:30:41 AM, oui écoute théo et vire ma photo,victim,none,no,none,no
Nicolas93,11:30:47 AM, aberrant,bully_support,none,no,none,no
FatimaVictime,11:30:54 AM, je partirai pas tant que tu vires pas ma photo pauline,victim,none,no,none,no
paulineee,11:31:02 AM, non,bully,none,no,none,no
Nicolas93,11:31:08 AM, non laisse la photo,bully_support,none,no,none,no
theo70,11:31:12 AM, ca te fait quoi d'enlever la photo ???,conciliator,none,no,none,no
paulineee,11:31:12 AM, cv c ta propre classe,bully,none,no,none,no
FatimaVictime,11:31:40 AM, ouais et me faire insulter par ma classe c'est normal ?,victim,none,no,none,no
Nicolas93,11:31:41 AM, allez ciao bisous a tous,bully_support,none,no,none,no
paulineee,11:31:42 AM, bisouss,bully,none,no,none,no
theo70,11:31:46 AM, vivez chacune de votre cote c bon,conciliator,none,no,none,no
julie,11:31:48 AM, bisous,victim_support,none,no,none,no
Nicolas93,11:31:49 AM, coeur sur vous,bully_support,none,no,none,no
theo70,11:31:53 AM, bisous mes vies,conciliator,none,no,none,no
julie,11:31:55 AM, jtaime fatima,victim_support,none,no,none,no
Teresa,11:31:57 AM, ciao,victim_support,none,no,none,no
Nicolas93,11:32:06 AM, j'aime une gadji elle s'appelle ciao,bully_support,none,no,none,no
