,Unnamed: 0,Unnamed: 1,Unnamed: 2,role,target,hate_speech,verbal_abuse,humor
27,@FatimahVictime,11:12:34 AM, Ils sont nuls !,victim,bully/bully_support,no,denigration,no
28,coralie,11:12:41 AM, grave,victim_support,none,no,none,no
29,@FatimahVictime,11:12:46 AM, mdr,victim,none,no,none,yes
30,leo77,11:12:51 AM, coralie ferme ta gueule toi aussi t'es une petasse,bully_support,victim_support,no,aggression-other,no
31,julie20,11:12:53 AM, t'es Fatigué,bully,victim_support,no,denigration,no
32,Paul72,11:12:54 AM, ah parce que c'est un job maintenant,bully_support,none,no,none,no
33,@FatimahVictime,11:13:01 AM, Bon Julie,victim,none,no,none,no
34,coralie,11:13:04 AM, octogone quand tu veux leo77,victim_support,none,no,none,no
35,@FatimahVictime,11:13:13 AM, tu peux me promettre que tu vas arrêter ?,victim,none,no,none,no
36,coralie,11:13:14 AM, avec ton corps tout frele,victim_support,bully,no,denigration,no
37,leo77,11:13:21 AM, coralie et fatimah c'est des salopes,bully_support,victim/victim_support,no,name_calling,no
38,@FatimahVictime,11:13:28 AM, ce sont *,victim,none,no,none,no
39,julie20,11:13:33 AM, mais oui mv,bully,none,no,none,no
40,leo77,11:13:36 AM, m'en branle,bully_support,none,no,none,no
41,coralie,11:13:37 AM, leo77 n'a pas d'arguments,victim_support,none,no,none,no
42,@FatimahVictime,11:13:38 AM, quand on parle bien français!!,victim,none,no,none,no
43,julie20,11:13:51 AM, tg rentre chez toi,bully,victim,yes,aggression-other,no
44,@FatimahVictime,11:13:53 AM, ... je suis française donc je suis chez moi,victim,none,no,none,no
45,coralie,11:14:05 AM, leo77 il sais pas insulter et il sais pas parler francais,victim_support,bully_support,no,denigration,no
46,julie20,11:14:12 AM, t'es sans papiers on le sais,bully,none,no,none,no
47,@FatimahVictime,11:14:22 AM, tu veux les voir julie ?,victim,none,no,none,no
48,leo77,11:14:33 AM, fatimah pas très francais,bully_support,victim,yes,denigration,no
49,Paul72,11:14:34 AM, La géographie c'est pas ton fort,bully_support,victim,no,denigration,no
50,julie20,11:14:43 AM, tu peux pas les monter,bully,none,no,none,no
51,coralie,11:15:04 AM, le niveau de vos blagues est eclaté les gars faite un effort,victim_support,bully/bully_support,no,denigration,no
52,leo77,11:15:17 AM," fatimah son vagin il sens le cochon,",bully_support,victim,no,denigration,no
53,Paul72,11:15:24 AM, retourne te faire enculer par un singe,bully_support,victim,no,aggression-other,no
54,julie20,11:15:30 AM, tu sais nager fat ?N,bully,none,no,none,no
55,@FatimahVictime,11:15:38 AM, C'est pas toi qui vas le sentir Leo !,victim,none,no,none,no
56,leo77,11:16:14 AM," tkt y a des photos qui tournent , pas très rasé tout ca",bully_support,victim,no,denigration,no
57,Paul72,11:16:32 AM, you born fat,bully_support,victim,no,denigration,no
58,coralie,11:16:34 AM, t'en a jamais vu en vrai donc ta de la chance,victim_support,none,no,none,no
59,@FatimahVictime,11:16:41 AM," Si tu fais ça, ... tu sais que je peux porter plainte?",victim,none,no,none,no
60,leo77,11:16:48 AM, j'ai vu le cul de ta soeur,bully_support,victim,no,aggression-other,no
61,coralie,11:16:57 AM, t'en a pas vu non plus,victim_support,none,no,none,no
62,julie20,11:17:01 AM, ça va etre fait tkt,bully,none,no,none,no
63,leo77,11:17:09 AM, porte plainte grosse folle sa va te meler,bully_support,victim,no,name_calling,no
64,coralie,11:17:12 AM, ta jamais toucher personne,victim_support,none,no,none,no
65,@FatimahVictime,11:17:14 AM," Et Leo, je vois pas comment tu pourrais avoir ce genre de photo..",victim,none,no,none,no
66,coralie,11:17:18 AM, leo77,victim_support,none,no,none,no
67,leo77,11:17:29 AM, tout le monde a vu ton cul,bully_support,none,no,none,no
68,coralie,11:17:30 AM, bolosse,victim_support,bully,no,name_calling,no
69,leo77,11:17:42 AM, en plus ta meme pas de forme mskn,bully_support,victim,no,denigration,no
70,Paul72,11:17:42 AM, tu as pu venir en france donc tout est possible,bully_support,none,no,none,no
71,coralie,11:17:57 AM, avec ton 2cm tu peut pas parler,victim_support,bully,no,denigration,no
72,julie20,11:17:59 AM, ça surcule avec tous les mecs qui ton dé glingué,bully,victim,no,denigration,no
73,@FatimahVictime,11:18:02 AM," Leo et Paul, on vous a pas causé .",victim,none,no,none,no
74,coralie,11:18:03 AM, leo77,victim_support,none,no,none,no
75,Paul72,11:18:30 AM, sinon il recherche un acteur pour le prochain kirikou,bully_support,victim,no,denigration,no
76,leo77,11:18:32 AM, fatimah on va t'enfoncer ton voile dans le cul,bully_support,victim,yes,aggression-other,no
77,@FatimahVictime,11:18:36 AM," Julie, tu as peur de moi ou quoi ? T'es moche Julie...",victim,bully,no,denigration,no
78,julie20,11:18:54 AM, mais tg toi on est Fat igué,bully,victim,no,aggression-other,no
79,coralie,11:19:06 AM, paul et leo vous etes vraiment fatiguant c'est aberrant avec vos tete de teub,victim_support,bully/bully_support,no,denigration,no
80,@FatimahVictime,11:19:16 AM, S'il te plaît Julie !,victim,none,no,none,no
81,leo77,11:19:18 AM, toi dans la tete dans des teub,bully_support,victim,no,aggression-other,no
82,@FatimahVictime,11:19:22 AM, Arrête tes blagues !,victim,none,no,none,no
83,leo77,11:19:24 AM, ta la,bully_support,none,no,none,no
84,@FatimahVictime,11:19:25 AM, Je suis pas grosse,victim,none,no,none,no
85,leo77,11:19:30 AM, t'es obese,bully_support,victim,no,denigration,no
86,@FatimahVictime,11:19:33 AM, FAT = grosse,victim,victim,no,denigration,no
87,julie20,11:19:36 AM, tg avec ta tete d'immigré,bully,victim,yes,aggression-other,no
88,leo77,11:19:40 AM, ta manger trop de bite,bully_support,victim,no,aggression-other,no
89,Paul72,11:19:43 AM, normal un singe ça bouffe des teub,bully_support,victim,yes,aggression-other,no
90,coralie,11:19:54 AM, c'est toi le singe,victim_support,bully_support,no,aggression-other,no
91,leo77,11:19:56 AM, faut doser sur le couscous,bully_support,none,no,none,no
92,coralie,11:20:03 AM, t'es meme un chien,victim_support,bully,no,aggression-other,no
93,julie20,11:20:15 AM, *retourne manger tes bananes,bully,victim,no,aggression-other,no
94,Paul72,11:20:38 AM, les merguez t'en prends pas que dans la bouche,bully_support,victim,no,aggression-other,no
95,coralie,11:20:42 AM, julie tu pu le seum parce qu'elle est belle,victim_support,none,no,none,no
96,@FatimahVictime,11:20:56 AM," Julie, arrête maintenant",victim,none,no,none,no
97,coralie,11:21:03 AM, julie20 ta trop la rage,victim_support,none,no,none,no
98,julie20,11:21:04 AM, et toi tu pu...,bully,victim_support,no,denigration,no
99,@FatimahVictime,11:21:06 AM, T'as pas besoin d'être jalouse,victim,none,no,none,no
100,leo77,11:21:11 AM, salam,bully_support,none,no,none,no
101,@FatimahVictime,11:21:18 AM, je ne vais pas te voler ton petit ami car t'en n'as pas!,victim,none,no,none,no
102,coralie,11:21:18 AM, nicolas jpp,victim_support,none,no,none,no
103,leo77,11:21:19 AM, donne ton insta,bully_support,none,no,none,no
104,coralie,11:21:42 AM, nicolas t'es guideti ?,victim_support,none,no,none,no
105,leo77,11:22:04 AM, wtf coralie,bully_support,none,no,none,no
106,coralie,11:22:12 AM, ptdr ta aucune chance,victim_support,none,no,none,yes
107,coralie,11:22:15 AM, ui?,victim_support,none,no,none,no
108,Paul72,11:22:20 AM, coralie porte parole de la boulémi,bully_support,none,no,none,no
109,leo77,11:22:23 AM, envoie ton snap,bully_support,none,no,none,no
110,coralie,11:22:35 AM, tema c'est chien,victim_support,bully/bully_support,no,name_calling,no
111,leo77,11:22:47 AM, allez ciao,bully_support,none,no,none,no
112,coralie,11:23:21 AM, julie elle pu le seum parce que fatima elle est 20 fois mieux qu'elle,victim_support,none,no,none,no
113,leo77,11:23:35 AM, fatimah elle est 20fois plus grosse qu'elle,bully_support,victim,no,denigration,no
114,leo77,11:23:42 AM, va la mosquée grosse folle,bully_support,victim,no,denigration,no
115,leo77,11:24:01 AM, ta trop la rage,bully_support,none,no,none,no
116,@FatimahVictime,11:24:07 AM, Julie c'est avec toi que ça se passe,victim,none,no,none,no
117,Paul72,11:24:21 AM, Fatigras,bully_support,victim,no,denigration,no
118,coralie,11:24:28 AM, leo toi t'es vraiment comme les autres,victim_support,none,no,none,no
119,julie20,11:24:28 AM, va bouffer ton couscous,bully,victim,yes,aggression-other,no
120,@FatimahVictime,11:24:31 AM, maintenant promets moi que tu vas arrêter,victim,none,no,none,no
121,coralie,11:24:37 AM," mais developppe change tesz argume,ts",victim_support,none,no,none,no
122,julie20,11:24:42 AM, non tg,bully,victim_support,no,aggression-other,no
123,coralie,11:24:48 AM, grosse merde,victim_support,bully,no,name_calling,no
124,leo77,11:24:51 AM, on va pas arreter c que le debut on va t'harceler toute la vie on va venir devant chez toi on va te bz,bully_support,victim,no,threat,no
125,coralie,11:25:12 AM, #une pensé pour paul le con,victim_support,bully_support,no,name_calling,no
126,julie20,11:25:12 AM, t'as cas crever,bully,victim_support,no,aggression-other,no
127,coralie,11:25:22 AM, biienn suuur,victim_support,none,no,none,no
128,Paul72,11:25:28 AM, au pire tu veux pas rentrer chez toi et cassez les couilles a ta famille,bully_support,victim_support,no,aggression-other,no
129,@FatimahVictime,11:25:35 AM, Je me sens pas bien quand vous faîtes ça..,victim,none,no,none,no
130,leo77,11:25:37 AM, coralie sa se voit c un modo discord,bully_support,none,no,none,no
131,coralie,11:25:47 AM, leo77 t'es un squellette frerot tu vas rien faire c'est quoi ca ? modo ?,victim_support,bully_support,no,denigration,no
132,Paul72,11:26:10 AM, si il te soulève il est fort,bully_support,victim,no,denigration,no
133,coralie,11:26:14 AM, non,victim_support,none,no,none,no
134,leo77,11:26:18 AM, bahaha va faire du sport,bully_support,victim,no,denigration,no
135,coralie,11:26:20 AM, il touche personne,victim_support,none,no,none,no
136,leo77,11:26:32 AM, coralie elle a le sida,bully_support,victim_support,no,aggression-other,no
137,julie20,11:26:33 AM, fatima ça fait quoi de pas pouvoir rentrer chez soi ??,bully,none,no,none,no
138,coralie,11:26:41 AM, leo77 ?? c'est quoi ces argument aclater,victim_support,none,no,none,no
139,@FatimahVictime,11:26:55 AM," STOP PAUL ! STOP LEO ! ET JULIE, on va régler ça en FACE2FACE j'en peux PLUS !",victim,none,no,none,no
140,leo77,11:27:04 AM, viens en sorrt,bully_support,none,no,none,no
141,Paul72,11:27:14 AM, Hitler il était pas si mauvais il s'est juste tromper de cible,bully_support,victim,no,aggression-other,no
142,@FatimahVictime,11:27:30 AM, C'EST HORRIBLE C'QUE TU DIS PAUL!,victim,none,no,none,no
143,Paul72,11:27:34 AM, les arabes,bully_support,none,no,none,no
144,coralie,11:27:36 AM, qu'est ce qui raconte lui,victim_support,none,no,none,no
145,julie20,11:27:36 AM, non c'est fatima qui a le sida a force de se faire pin,bully,victim,no,aggression-other,no
146,leo77,11:27:41 AM, nique les bougnoules,bully_support,victim,yes,aggression-other,no
147,@FatimahVictime,11:27:44 AM, IL AURAIT DU T'EXTERMINER !,victim,victim,no,aggression-other,no
148,Paul72,11:27:47 AM, les boukak les melons,bully_support,victim,no,name_calling,no
149,leo77,11:27:53 AM, les singes,bully_support,victim,no,name_calling,no
150,Paul72,11:28:00 AM, c'est ciao,bully_support,none,no,none,no
151,julie20,11:28:09 AM, good by,bully,none,no,none,no
152,leo77,11:28:29 AM, tu t'es suicidé,bully_support,none,no,none,no
153,coralie,11:28:29 AM, paul t'es qui ?,victim_support,none,no,none,no
154,leo77,11:28:34 AM, j'espere en tout cas,bully_support,none,no,none,no
155,coralie,11:28:38 AM, Paul72 t ki,victim_support,none,no,none,yes
156,leo77,11:28:50 AM, quette,bully_support,none,no,none,yes
157,julie20,11:28:50 AM, ça fera de la place,bully,none,no,none,no
158,@FatimahVictime,11:28:54 AM," Sincèrement, je peux plus dormir la nuit avec vos horreurs !",victim,none,no,none,no
159,Paul72,11:29:02 AM, tu sais ce qui separe les animaux des humains ? la mer méditerranné,bully_support,victim,no,aggression-other,no
160,@FatimahVictime,11:29:08 AM, Vous n'avez aucune pitié ça m'affecte beaucoup,victim,none,no,none,no
161,julie20,11:29:19 AM, ba rentre chez toi,bully,victim,no,aggression-other,no
162,coralie,11:29:20 AM, lyvio t'es blagues elle sont mytheuse,victim_support,none,no,none,no
163,julie20,11:29:24 AM, a la nage,bully,none,no,none,no
164,coralie,11:29:57 AM, Paul72 tu fais trop de bruit on les entends moins les bolosses,victim_support,bully_support,no,name_calling,no
165,@FatimahVictime,11:30:52 AM," Heureusement que je sais nager Julie, contrairement à toi....",victim,none,no,none,no
166,coralie,11:30:58 AM, et bim,victim_support,none,no,none,no
167,leo77,11:31:07 AM, ferme ta gueule jvais te faire bouffer ma bite,bully_support,victim,no,aggression-other,no
168,coralie,11:31:13 AM, oui,victim_support,none,no,none,no
169,Paul72,11:31:15 AM, ferme ton fiac on arrive pas a s'entendre,bully_support,victim,no,aggression-other,no
170,coralie,11:31:15 AM, comme d'hab,victim_support,none,no,none,no
171,@FatimahVictime,11:31:24 AM, C'était tellement drôle de voir dans l'eau au dernier cours de natation !,victim,none,no,none,no
172,leo77,11:31:29 AM, coralie c'est une obese qui baise,bully_support,victim,no,denigration,no
173,@FatimahVictime,11:31:31 AM, Donc viens pas me chercher sur ce terrain !,victim,none,no,none,no
174,julie20,11:31:32 AM, ces les singes qui savent pas nager,bully,none,no,none,no
175,coralie,11:31:51 AM, la merde ca sort par le cul et pas par la bouche leo77 et Paul72 ;P,victim_support,none,no,none,no
176,Paul72,11:32:10 AM, t'as déjà vu un noir d'en l'eau il coule,bully_support,none,no,none,no
177,leo77,11:32:23 AM, coralie j vais tellement t'neculer qu'on va retrouver du petrole dans ton cul enculer,bully_support,victim_support,no,aggression-other,no
178,@FatimahVictime,11:32:32 AM," Leo et Paul, vous n'êtes que des diarrhées verbales !",victim,bully_support,no,name_calling,no
179,julie20,11:32:32 AM, C fat quand elle nage,bully,victim,no,denigration,no
180,@FatimahVictime,11:32:48 AM, Julie stp stop,victim,none,no,none,no
181,coralie,11:32:53 AM, leo77 tu pourra pas me toucher avec ton chbrax de 2cm,victim_support,bully_support,no,denigration,no
182,leo77,11:32:54 AM, tgg,bully_support,victim_support,no,aggression-other,no
183,julie20,11:33:01 AM, et toi juste une diarrhé,bully,victim,no,aggression-other,no
184,leo77,11:33:12 AM," j ai une ak 47 dans le caleco,",bully_support,none,no,none,no
185,coralie,11:33:15 AM, aller c'est ciao les noobs jme tire,victim_support,bully/bully_support,no,name_calling,no
186,@FatimahVictime,11:33:23 AM, Julie stp arrête maintenant !,victim,none,no,none,no
187,julie20,11:33:37 AM, bonsoir non,bully,none,no,none,no
188,Paul72,11:33:39 AM, ta natation c'est dans la mer noire,bully_support,none,no,none,no
