,Unnamed: 0,Unnamed: 1,Unnamed: 2,role,target,hate_speech,verbal_abuse,humor
57,[2:46:37 PM], <Arthur-Soutien-Harceleur>, pire que des annimeaux,bully_support,none,no,denigration,no
58,[2:46:48 PM], <Jimmy-Conciliateur>, calmez vous c'est pas bien ,conciliator,none,no,none,no
59,[2:46:51 PM], <Ellian-Harceleur>, bah moi je te dit ce que tu va faire tu va bien niker tes mort ,bully,victim,no,aggression-other,no
60,[2:47:00 PM], <Paul-Victime>, de pas reflechir et respecter ce que ressentent les autres  oui c des animaux,victim,none,no,none,no
61,[2:47:10 PM], <Nicola-Soutien-Harceleur>, jimmy aucupe toi de ton cue que paul encule ;),bully_support,conciliator,yes,aggression-other,no
62,[2:47:57 PM], <Paul-Victime>," '=(  Nicolas  t""es trop con  arrete d'etre  bete  et essaie de  comprendre   ton attitude ne te rend pas populaire",victim,bully_support,no,name_calling,no
63,[2:48:00 PM], <Ellian-Harceleur>, sa ma dit que tu suce bien en plus avec la video qui a tourner fdp,bully,victim,no,name_calling,no
64,[2:48:08 PM], <Arthur-Soutien-Harceleur>, keske wlh,bully_support,none,no,none,no
65,[2:48:22 PM], <Paul-Victime>," n""importe quoi !!! trop nul ",victim,none,no,none,no
66,[2:48:24 PM], <Arthur-Soutien-Harceleur>, grave y degoute,bully_support,none,no,denigration,no
67,[2:48:34 PM], <Ellian-Harceleur>, mais wallah vous faite pitier,bully,none,no,none,no
68,[2:48:35 PM], <Paul-Victime>," c""est votre attitude qui degoute",victim,none,no,none,no
69,[2:48:43 PM], <Arthur-Soutien-Harceleur>, on va te faire tournee dans tout le quartier,bully_support,none,no,threat,no
70,[2:48:43 PM], <Jimmy-Conciliateur>, tous le mondes est différents respectons nous ,conciliator,none,no,none,no
71,[2:48:49 PM], <Nicola-Soutien-Harceleur>, non c toi qui dégoute,bully_support,none,no,denigration,no
72,[2:48:57 PM], <Paul-Victime>, ton manque d'intelligence c pire que tout,victim,bully,yes,denigration,no
73,[2:48:58 PM], <Arthur-Soutien-Harceleur>, tu va repartir en boiten,bully_support,none,no,threat,no
74,[2:49:12 PM], <Ellian-Harceleur>, je vais tenclancher toi vien en ce donne un tete,bully,none,no,none,no
75,[2:49:19 PM], <Paul-Victime>, vos menaces sont debiles,victim,none,no,none,no
76,[2:49:31 PM], <Nicola-Soutien-Harceleur>, ba vien n face et on verra,bully_support,none,no,none,no
77,[2:49:32 PM], <Arthur-Soutien-Harceleur>, lisa et camille y sont inexistant trdc perdu,bully_support,victim_support,no,name_calling,no
78,[2:49:50 PM], <Ellian-Harceleur>, je vais te niker tt tes mort toi ta daronne ton daron et ton fdp de Jimmy le gwer,bully,victim,yes,threat,no
79,[2:49:54 PM], <Jimmy-Conciliateur>, soyons friends  ,conciliator,none,no,none,no
80,[2:50:06 PM], <Ellian-Harceleur>, et ftg friends,bully,conciliator,no,aggression-other,no
81,[2:50:07 PM], <Nicola-Soutien-Harceleur>, mes tu va areter jimmy,bully_support,none,no,none,no
82,[2:50:14 PM], <Arthur-Soutien-Harceleur>, cb tg toi friend tes mort,bully_support,conciliator,no,aggression-other,no
83,[2:50:26 PM], <Ellian-Harceleur>, wallah tu tes cru au stayts,bully,none,no,none,no
84,[2:50:31 PM], <Jimmy-Conciliateur>, pas d'insultes entre nous ,conciliator,none,no,none,no
85,[2:50:34 PM], <Paul-Victime>, et toi  tu es pretentieux pour niquer tout le monde faut pouvoir. Mais  surtout se servir de son  cerveau c dur quand on en a pas,victim,bully,no,denigration,no
86,[2:51:01 PM], <Arthur-Soutien-Harceleur>, jppppppppppppp c quoi ses repartie de victimes la je meur,bully_support,none,no,denigration,no
87,[2:51:06 PM], <Ellian-Harceleur>, et wee hein bien sur wallah au lieux de parler pour rien fdp,bully,victim,no,name_calling,no
88,[2:51:19 PM], <Jimmy-Conciliateur>, ah ouai paupauuuu,conciliator,none,no,none,no
89,[2:51:20 PM], <Ellian-Harceleur>, vien te nike ta grand mere kehba,bully,victim,no,threat,no
90,[2:51:22 PM], <Paul-Victime>, c surement plus malin que tes remarques et insultes stupides,victim,none,no,denigration,no
91,[2:51:37 PM], <Ellian-Harceleur>, vzy j'ai pas ton temps,bully,none,no,none,no
92,[2:51:40 PM], <Nicola-Soutien-Harceleur>, bon slt les gens,bully_support,none,no,none,no
93,[2:51:40 PM], <Ellian-Harceleur>, fdp va niker ttes mort grosse kehba de bitch,bully,victim,no,aggression-other,no
