,,,role,target,hate_speech,verbal_abuse,humor
[2019-06-13 14:36:17], <Silvia_Victime>, c'est pour ça que tu marches pas droit,victim,bully_support,no,denigration,no
[2019-06-13 14:36:27], <Herbert_concil>, chaud,conciliator,none,no,none,no
[2019-06-13 14:36:45], <Diana>, tu as jamais reussis a marcher droit ,bully_support,none,no,denigration,no
[2019-06-13 14:36:49], <Adrien_harceleur>, toi aussi tu marche pas droit parceque tu t fais demonter par ton pere,bully,victim,no,denigration,no
[2019-06-13 14:36:49], <Silvia_Victime>, faut pas attaquer les gens gratuitement,victim,none,no,none,no
[2019-06-13 14:36:57], <Silvia_Victime>, il est mort mon pềre,victim,none,no,none,no
[2019-06-13 14:36:57], <Diana>, toujours etait une pute de mere en fille,bully_support,victim,no,denigration,no
[2019-06-13 14:36:59], <Silvia_Victime>, faut suivre,victim,none,no,none,no
[2019-06-13 14:37:02], <Adrien_harceleur>, il est manque dans son cimetire,bully,victim,no,aggression-other,no
[2019-06-13 14:37:03], <Herbert_concil>, Bonne nuit bisous,conciliator,none,no,none,no
[2019-06-13 14:37:20], <Adrien_harceleur>, il pourra enculé ta mere la squellette,bully,victim,no,denigration,no
