,Unnamed: 0,Unnamed: 1,Unnamed: 2,role,target,hate_speech,verbal_abuse,humor
30,SilviaVictime,09:18:28 AM, Oh Lucas fait ce qu'il veut si il me prefère c'est son choix ! je n'y suis pour iren,victim,none,no,none,no
31,Soan,09:18:38 AM, Il te prefere tqt,victim_support,none,no,none,no
32,SilviaVictime,09:18:42 AM, laissez moi tranquille,victim,none,no,none,no
33,Soan,09:18:46 AM, Ils sont juste cons,victim_support,none,no,none,no
34,Diana,09:18:51 AM, mdrrr sale' serbe retourne dans ton pays,bully_support,victim_support,yes,aggression-other,yes
35,SilviaVictime,09:19:00 AM, Quelle est le rapport putain ??!!,victim,none,no,none,no
36,Adrien94,09:19:06 AM," Soan par pitier deja que personne t’aime, arrete de parler",bully,victim_support,no,denigration,no
37,SilviaVictime,09:19:09 AM, Tu est rasiste en plus d'etre con ? En quoi ça te concerne en plus ??.,victim,bully,no,denigration,no
38,Adrien94,09:19:39 AM, silvia tu merite,bully,victim,no,blaming,no
39,Soan,09:19:42 AM, Bande de racistes,victim_support,none,no,none,no
40,Diana,09:19:55 AM, Je defend mon pote tout simplement,bully_support,none,no,none,no
41,hebert,09:19:58 AM," mais laisser silvia et lucas faire ce qu’ils veulent, ça vous regarde pas",conciliator,none,no,none,no
42,SilviaVictime,09:20:02 AM," Adrien94  Tu n'as rie nd'autre a faire que de venir foutre la merde ici, tu as pas d'amis pour t'occuper ?",victim,bully,no,denigration,no
43,Adrien94,09:20:04 AM, bien dit Diana ! tg,bully,victim,no,aggression-other,no
44,Theo68,09:20:10 AM, pourquoi tu te mets à la place de la victime alors que c'est toi la tapin,bully_support,victim,no,aggression-other,no
45,Adrien94,09:20:13 AM, parle pas,bully,victim,no,aggression-other,no
46,Soan,09:20:32 AM, Vous bouffez votre seum parce que votre pote à pécho Silvia parce qu'elle est bien plus belle que Sophie,victim_support,none,no,none,no
47,Adrien94,09:20:43 AM, toi t’ez un thon trop vilaine et elle parle,bully,victim,no,denigration,no
48,Diana,09:21:01 AM," mais gros elle est dans sa classe allo elle a pas de respect pour elle, va sur les trottoirs c'est pareil",bully_support,victim,no,aggression-other,no
49,SilviaVictime,09:21:16 AM, Diana si tu as un minimum de cerveau tu ne suis pas les connerie d'adrien,victim,bully_support,no,denigration,no
50,Soan,09:21:22 AM, T'es super vilain Adrien,victim_support,bully,no,denigration,no
51,camille,09:21:24 AM, mdr quel seum t'es juste un bouche trou crois pas des bonne,bully_support,victim,no,denigration,no
52,Adrien94,09:21:24 AM, silvia t’as chatte toute degeulasse,bully,victim,no,aggression-other,no
53,Theo68,09:21:25 AM, tg Soan t'es au meme niveau que ta pote crasseuse,bully_support,victim_support,no,aggression-other,no
54,Soan,09:21:36 AM, Les conneries d'Adrien sont aussi grosses que lui,victim_support,bully,no,denigration,no
55,Adrien94,09:21:48 AM, Soan t’es panini,bully,none,no,none,no
56,Soan,09:22:00 AM, le rapport ???????????? T'es très peu futé,victim_support,bully_support,no,denigration,no
57,Diana,09:22:12 AM, silvia me parle pas sachant que tu fais la sainte nitouche alors que t'a bz 1000 mecs,bully_support,victim,no,aggression-other,no
58,Adrien94,09:22:15 AM, silvia parle si t as des couille grognasse,bully,victim,no,aggression-other,no
59,hebert,09:22:52 AM, mais adrien trkl ça te regarde pas,conciliator,none,no,none,no
60,Adrien94,09:23:03 AM, arrete d essayer de calmer,bully,none,no,none,no
61,camille,09:23:03 AM, ta bouche c'est un garage arrête de parler,bully_support,victim,no,aggression-other,no
62,Adrien94,09:23:10 AM, ou je vais t’attraper aussi,bully,none,no,none,no
63,Diana,09:23:15 AM, hebert tu sers a rien,bully_support,conciliator,no,aggression-other,no
64,Soan,09:23:16 AM, très peu stylé votre répartie... vous embrouillez pour rien,victim_support,none,no,none,no
65,hebert,09:23:26 AM, mskn,conciliator,none,no,none,no
66,SilviaVictime,09:23:29 AM," Og on c'est juste embrasser 1 fois, c'est quoi ce délire !",victim,none,no,none,no
67,Theo68,09:23:30 AM, tg petasse,bully_support,victim,no,aggression-other,no
68,Adrien94,09:23:58 AM, ta bouche c un garage a teub,bully,victim,no,aggression-other,no
69,Theo68,09:24:05 AM, on va devoir te coudre la bouche,bully_support,victim,no,aggression-other,no
70,SilviaVictime,09:24:36 AM," BOn, ta pas des arguments plutot que des insuste en boucle  Adrien ?",victim,none,no,none,no
71,Diana,09:24:42 AM, et alors frr elle etait en cvouple et toi t'embrasse le mec de ta collegue,bully_support,none,no,none,no
72,Soan,09:24:55 AM, Lucas a fauté,victim_support,none,no,none,no
73,Theo68,09:25:01 AM, parle francais le s,bully_support,victim,no,denigration,no
74,hebert,09:25:03 AM, mais alors ça te regarde pas Diana t’es qui pour intervenir dans la vie des gens,conciliator,none,no,none,no
75,camille,09:25:11 AM, et alors tu sais pas dire,bully_support,none,no,none,no
76,Adrien94,09:25:11 AM, je comprend meme pas pq il t’as embrasse sophi est pas grosse au moins,bully,victim,no,denigration,no
77,Soan,09:25:12 AM, C'est pas la faute de Silvia Soyez logique,victim_support,none,no,none,no
78,SilviaVictime,09:25:20 AM, C'est pas moi qui suis en couple et Lucas fait ce qu'il veut,victim,none,no,none,no
79,Soan,09:25:30 AM, Silvia a raison,victim_support,none,no,none,no
80,Diana,09:25:36 AM, et alors t'as pas de respect ou quoi,bully_support,none,no,none,no
81,SilviaVictime,09:25:37 AM, merci Soan,victim,none,no,none,no
82,Adrien94,09:25:37 AM, t’as aucune dignité et Soan pareil,bully,none,no,none,no
83,hebert,09:25:38 AM, de fou adrien arrête de faire la star je vais te chopper dans un coin,conciliator,bully,no,aggression-other,no
84,Soan,09:25:39 AM, soyez intelligent Adrien tg,victim_support,bully,no,aggression-other,no
85,Theo68,09:25:48 AM, t'es une pute et tu resteras toujours une pute,bully_support,victim,no,aggression-other,no
86,Soan,09:26:05 AM, tu prends ton seum theo car tu voulais pécho Silvia ? que ça mange son seum..,victim_support,bully_support,no,aggression-other,no
87,Diana,09:26:38 AM, je suis sur silvia tes trans,bully_support,victim,yes,denigration,no
88,Theo68,09:26:40 AM, je l'ai bz comme ta mère,bully_support,bully_support,no,aggression-other,no
89,SilviaVictime,09:26:47 AM," Adrien et ton fan club la, donne t'es arguement ?? qu'es que tu invente, t'as vue quoi d'apres toi ?",victim,none,no,none,no
90,hebert,09:26:55 AM, oh Diana tu parles trop tu fais de la peine p’tite pute,conciliator,victim,no,aggression-other,no
91,Adrien94,09:27:05 AM, j’ai vu c tout,bully,none,no,none,no
92,Soan,09:27:10 AM, Bien dit hebert,victim_support,none,no,none,no
93,SilviaVictime,09:27:11 AM, C'est toi uqi vien me parler,victim,none,no,none,no
94,hebert,09:27:15 AM, merci Soan,conciliator,none,no,none,no
95,Diana,09:27:19 AM, hebert je vais te niquer on se fait un tete ?,bully_support,conciliator,no,aggression-other,no
96,Soan,09:27:33 AM, Que de la bouche,victim_support,none,no,none,no
97,hebert,09:27:36 AM, je vais te retourner le trou de balle c’est tout ce qu’on vas faire,conciliator,bully_support,no,aggression-other,no
98,Diana,09:27:46 AM, aller go coquin,bully_support,none,no,none,no
99,hebert,09:27:52 AM, comment ça ?,conciliator,none,no,none,no
100,Soan,09:27:58 AM, 😏,victim_support,none,no,none,no
101,hebert,09:28:03 AM, 530 avenue des vignes je t’attend,conciliator,none,no,none,no
102,Theo68,09:28:04 AM, partouze,bully_support,none,no,none,no
103,Soan,09:28:12 AM, 😏😏😏😏😏,victim_support,none,no,none,no
104,hebert,09:28:18 AM, bref adrien calme toi,conciliator,none,no,none,no
105,Adrien94,09:28:34 AM, mais ferme ta gueule ?,bully,conciliator,no,aggression-other,no
106,hebert,09:28:37 AM, et laisse silvia et lucas faire leur vie mais bz ta mère,conciliator,bully,no,aggression-other,no
107,Soan,09:28:45 AM, Adrien tu te prends pour qui tu parles trop mal frr,victim_support,none,no,none,no
108,Diana,09:29:00 AM," silvia va ken hebert il a l'air detre chaud vu que toi ca te"" derange pas",bully_support,victim,no,aggression-other,no
109,SilviaVictime,09:29:03 AM, Quelle est le rapport avec le fait que je suis d'orgine Serbe ?,victim,none,no,none,no
110,Soan,09:29:13 AM, Ils sont racistes fort ici,victim_support,none,no,none,no
111,Adrien94,09:29:19 AM, ces putain de serbes de merdes,bully,victim,yes,aggression-other,no
112,hebert,09:29:21 AM, c’est un pure discrimination c’est chaud vraiment,conciliator,none,no,none,no
113,Adrien94,09:29:24 AM, tous les memes,bully,none,no,none,no
114,hebert,09:29:54 AM, oh luca arrête vraiment *adrien,conciliator,none,no,none,no
115,Adrien94,09:30:02 AM, c qui ca,bully,none,no,none,no
116,SilviaVictime,09:30:18 AM, Comme ça tous les meme ??,victim,none,no,none,no
117,Adrien94,09:30:21 AM, faute de frappe,bully,none,no,none,no
118,SilviaVictime,09:30:26 AM, Va si ecplique toi !,victim,none,no,none,no
119,Soan,09:30:31 AM, choqué du niveau de racisme,victim_support,none,no,none,no
120,Adrien94,09:30:32 AM, tu sais de quoi je parle salope,bully,victim,no,name_calling,no
121,SilviaVictime,09:30:35 AM, Explique toi !,victim,none,no,none,no
122,Adrien94,09:30:41 AM, articule stp,bully,none,no,none,no
123,Diana,09:30:48 AM, parle francais le reuf stp,bully_support,victim_support,no,denigration,no
124,hebert,09:30:51 AM, adrien parle mieux vraiment j’vais t’enculer respect la fdp,conciliator,bully,no,aggression-other,no
125,SilviaVictime,09:31:19 AM, +1 herbert,victim,none,no,none,no
126,Adrien94,09:31:44 AM, « +1 herbert » que tu suce,bully,conciliator,no,aggression-other,no
127,hebert,09:31:53 AM, c’est bon adrien c’est normal que t’es la haine par rapport à ton pote mais pas besoins d’allez aussi loin,conciliator,none,no,none,no
128,Adrien94,09:32:09 AM, hebert ?,bully,none,no,none,no
129,hebert,09:32:23 AM, adrien quoi ?,conciliator,none,no,none,no
130,Adrien94,09:32:25 AM, tg,bully,conciliator,no,aggression-other,no
131,SilviaVictime,09:32:28 AM, ￼c'est triste,victim,none,no,none,no
132,Soan,09:32:33 AM, Vraiment,victim_support,none,no,none,no
133,hebert,09:32:34 AM, je vais te retrouver,conciliator,bully,no,threat,no
134,Adrien94,09:32:34 AM, silvia ?,bully,none,no,none,no
135,SilviaVictime,09:32:37 AM, si peut d'argument,victim,none,no,none,no
136,Soan,09:32:38 AM, Ils prennent leurs seum C'est trop Silvia t'es trop belle pour eux,victim_support,none,no,none,no
137,Adrien94,09:32:54 AM, tg jvais te cracher dessus,bully,victim_support,no,aggression-other,no
138,Diana,09:33:08 AM, crache dans sa chatte,bully_support,victim,no,aggression-other,no
139,Soan,09:33:19 AM, Soyez digne sérieuix sérieux,victim_support,none,no,none,no
140,Theo68,09:33:31 AM, Diana elle a faim blup blup blup,bully_support,none,no,none,no
141,camille,09:34:03 AM, parle pas de dignité quand ta collègue pecho le mec de sa pote,bully_support,none,no,none,no
142,Soan,09:34:09 AM, C'est lui le fautif pas elle,victim_support,none,no,none,no
143,Theo68,09:34:11 AM, dis leur cam,bully_support,none,no,none,no
144,Diana,09:34:18 AM, elle aurait pu l'arreter,bully_support,none,no,none,no
145,Soan,09:34:19 AM," Elle est célibataire, il est en couple Soyez intelligents.",victim_support,none,no,none,no
146,Adrien94,09:34:34 AM, toi aussi t es une traine ton avis compte pas,bully,victim_support,no,aggression-other,no
147,camille,09:34:45 AM, elle a aucun respect cette crasseuse,bully_support,victim,no,name_calling,no
148,Soan,09:34:50 AM, Il a profité que sa meuf ai la grippe pour aller à droite et à gauche votre pote est indéfendable,victim_support,none,no,none,no
149,Diana,09:35:01 AM, elle a bien du avaler celle la,bully_support,victim,no,aggression-other,no
150,hebert,09:35:02 AM, et toi en faisant ça t’a aucun respect non plus camille,conciliator,none,no,none,no
151,SilviaVictime,09:35:13 AM, Oui merci Soan !! Adrien en plus tu t'enfonce avec t'es sous entendu raciste !,victim,none,no,none,no
152,Soan,09:35:18 AM, Grave,victim_support,none,no,none,no
153,hebert,09:35:20 AM, oh Diana t’a trop faim dégage de la,conciliator,bully_support,no,aggression-other,no
154,Soan,09:35:24 AM, Bande de racistes,victim_support,none,no,none,no
155,SilviaVictime,09:35:33 AM, Tous le monde as de la famille étrangères,victim,none,no,none,no
156,Diana,09:35:34 AM, hebert je vais te faire,bully_support,conciliator,no,aggression-other,no
157,camille,09:35:34 AM, elle l'autre serbe elle a ouvert les jalbrs jambes,bully_support,victim,yes,aggression-other,no
158,Soan,09:35:37 AM, Vous savez que les propos racistes c'est conda,victim_support,none,no,none,no
159,Adrien94,09:35:39 AM, jsuis pas rasciste jdis la verite,bully,none,no,none,no
160,SilviaVictime,09:35:40 AM, et ca ne définie pas ton comportement,victim,none,no,none,no
161,Soan,09:35:42 AM, condamnable?,victim_support,none,no,none,no
162,hebert,09:35:44 AM, Diana tu vas rien faire,conciliator,none,no,none,no
163,Diana,09:36:03 AM, retourne au Kosovo et vient pas faire chier,bully_support,victim,yes,aggression-other,no
164,hebert,09:36:14 AM, mais wshhhhhhhh,conciliator,none,no,none,no
165,SilviaVictime,09:36:45 AM, Les Serbe ne sons pas des voleurs c'est des cliché de Fachiste comme toi ça,victim,none,no,none,no
166,hebert,09:36:55 AM," juste adrien c’est bon t’a dis des trucs de fou, t’a défoulé ta haine laisse silvia et partez faire vos vies chacun de votre côté",conciliator,none,no,none,no
167,camille,09:36:55 AM, t'as sucé pour passer la frontière ?,bully_support,victim,yes,aggression-other,no
168,Soan,09:37:02 AM, Que ça vote le z ici.. ça craint,victim_support,none,no,none,no
169,Diana,09:37:16 AM, meme ton pseudo c afait pitie,bully_support,victim,no,denigration,no
170,Adrien94,09:37:19 AM, bah la le serbe a voler le mec de quelqu’un en l’cccurence,bully,victim,yes,denigration,no
171,Soan,09:37:26 AM, apprends à écrire Diana,victim_support,bully_support,no,denigration,no
172,Adrien94,09:37:36 AM, o,bully,none,no,none,no
173,Soan,09:37:37 AM, la bite dans la bouche depuis tout à l'heure,victim_support,bully_support,no,aggression-other,no
174,Diana,09:37:39 AM, les etranger dans l'avion,bully_support,victim,yes,aggression-other,no
175,SilviaVictime,09:37:42 AM," MAis c'est grave, qu»es ce que tu coprend pas dans le fait que je suis Française ! je suis net en France et ma mere et Francçaise ! C'est pas complique !",victim,none,no,none,no
176,Diana,09:37:58 AM, va crever,bully_support,victim,no,aggression-other,no
177,camille,09:38:03 AM, va te pendre,bully_support,victim,no,aggression-other,no
178,Adrien94,09:38:10 AM, mais ton pere le ptn de serbe,bully,victim,yes,aggression-other,no
179,Soan,09:38:13 AM, PARDON vous allez beaucoup trop loin,victim_support,none,no,none,no
180,camille,09:38:21 AM, fait pas la choquer,bully_support,none,no,none,no
181,hebert,09:38:23 AM, mais arrêter vraiment vous avez aucune peine c’est chaud,conciliator,none,no,none,no
182,Diana,09:38:29 AM, hebert tg toi,bully_support,conciliator,no,aggression-other,no
183,SilviaVictime,09:38:42 AM, Tu ne fait que répéter ce que tu entend comme un mouton,victim,none,no,none,no
184,hebert,09:38:43 AM, Diana on vas se retrouver,conciliator,none,no,none,no
185,SilviaVictime,09:38:51 AM, Je suis sure que tu ne connait meme pas de Serbe en plus,victim,none,no,none,no
186,Soan,09:38:52 AM, Sale mouton Diana,victim_support,bully_support,no,name_calling,no
187,Adrien94,09:38:55 AM, silvia personne te comprend,bully,none,no,none,no
188,Soan,09:39:01 AM, avec tes cheveux mal coiffé là,victim_support,bully_support,no,denigration,no
189,Diana,09:39:03 AM, bah si toi Soan je vais t’enculer sale mms,bully_support,victim_support,no,aggression-other,no
190,SilviaVictime,09:39:19 AM, Oui as part moi connard MDR,victim,bully,no,name_calling,no
191,hebert,09:39:35 AM," parle mieux de Soan, Diana sinon on vas t’envoyer une équipe",conciliator,bully_support,no,threat,no
192,Diana,09:39:37 AM, comment ca t'insulte toi,bully_support,none,no,none,no
193,Soan,09:39:37 AM, voila Silvia DIS LEURS,victim_support,none,no,none,no
194,Diana,09:39:52 AM, hebert tqt tu vas rien faire,bully_support,none,no,none,no
195,Adrien94,09:39:59 AM, hebert doucement,bully,none,no,none,no
196,hebert,09:40:02 AM, Diana je sais ou t’habite,conciliator,none,no,none,no
197,Diana,09:40:03 AM, silvia on va debarquer chez toi tu vas voir,bully_support,victim,no,threat,no
198,hebert,09:40:18 AM, adrien je vais doucement dans le cul de ta daronne,conciliator,bully,no,aggression-other,no
199,Soan,09:40:27 AM, WTF Désolée Silvia,victim_support,none,no,none,no
200,Adrien94,09:40:37 AM, desole crunjeu,bully,none,no,none,no
201,Soan,09:40:40 AM, On t'aime fort,victim_support,none,no,none,no
202,Diana,09:40:43 AM, bon cest finit on doit partir je m'excuse mdrr je me sentais trop malo de marquer ca,bully_support,none,no,none,yes
203,Soan,09:40:44 AM, <3333 ;C,victim_support,none,no,none,no
204,camille,09:40:44 AM, on doit partir vraiment désolé Silvia,bully_support,none,no,none,no
205,Soan,09:40:47 AM, LOVE,victim_support,none,no,none,no
206,hebert,09:40:49 AM, sage adrien,conciliator,none,no,none,no
207,Diana,09:40:53 AM, on t'aime silvia,bully_support,none,no,none,no
208,camille,09:40:56 AM, love on est pas méchante,bully_support,none,no,none,no
