,Unnamed: 0,Unnamed: 1,text,role,target,hate_speech,verbal_abuse,humor
64,[2019-06-13 16:05:11], <Jenny_concil>, et demande a francois la prochaine fois,conciliator,none,no,none,no
65,[2019-06-13 16:05:21], <pierre_defenseur>, fface la photo Pauline !😡,victim_support,none,no,none,no
66,[2019-06-13 16:05:23], <Theresa_SoutienH>, de tt facon c'est tro tard elle est postée,bully_support,none,no,none,no
67,[2019-06-13 16:05:29], <pierre_defenseur>, efface*,victim_support,none,no,none,no
68,[2019-06-13 16:05:37], <Jenny_concil>, jppp pauline je suis ton ami alors j'essaie de calmer la situatio,conciliator,none,no,none,no
69,[2019-06-13 16:05:56], <_Francoisvictim>, theresa  avoue :),victim,none,no,none,no
70,[2019-06-13 16:06:17], <Lucas_soutiendel>, Efface ou j'irais encourager Francois à aller porter plainte pour non droit à l'image et atteinte à la vie privée,victim_support,bully/bully_support,no,threat,no
71,[2019-06-13 16:06:19], <Theresa_SoutienH>, Au moins on me respecte,bully_support,none,no,none,no
72,[2019-06-13 16:06:24], <Jenny_concil>, yes lucas,conciliator,none,no,none,no
73,[2019-06-13 16:06:25], <Pauline_Harceleu>, regardes le un peu putain ouvre les yeux jenny ,bully,none,no,none,no
74,[2019-06-13 16:06:35], <_Francoisvictim>, la dignité partie au chiotte...,victim,none,no,none,no
75,[2019-06-13 16:06:37], <pierre_defenseur>, une photo meme postée ca s'efface nous prenez pas pour des cons 😤,victim_support,none,no,none,no
76,[2019-06-13 16:06:42], <Jenny_concil>, jpp tu t'auto-respectes nous on respecte  pas les mechants,conciliator,none,no,none,no
77,[2019-06-13 16:06:52], <Jenny_concil>, comme la photo bientôt,conciliator,none,no,none,no
78,[2019-06-13 16:06:52], <Theo_SoutienH>, meme en ouvrant les yeux,bully_support,none,no,none,no
79,[2019-06-13 16:06:53], <Theresa_SoutienH>, Désolé mais non,bully_support,none,no,none,no
80,[2019-06-13 16:07:03], <Theresa_SoutienH>, oooooh,bully_support,none,no,none,no
81,[2019-06-13 16:07:10], <_Francoisvictim>, bon allez supprimez moi ca,victim,none,no,none,no
82,[2019-06-13 16:07:26], <Jenny_concil>, nah justement pauline efface la comme ca tu le verra plus ohlala$,conciliator,none,no,none,no
83,[2019-06-13 16:07:29], <Theresa_SoutienH>, une photo sur le net ca part pas mm si on voulait,bully_support,none,no,none,no
84,[2019-06-13 16:07:30], <_Francoisvictim>, vous voulez que je me jette d'un immeuble c'est cq?,victim,none,no,none,no
85,[2019-06-13 16:07:37], <pierre_defenseur>, pauline supprime ca t'apporte quoi serieux ?,victim_support,none,no,none,no
86,[2019-06-13 16:07:39], <_Francoisvictim>, ca*,victim,none,no,none,no
87,[2019-06-13 16:08:08], <Lucas_soutiendel>, T'es tellement stupide Paupau,victim_support,bully,no,denigration,no
88,[2019-06-13 16:08:13], <Theresa_SoutienH>, Bah non,bully_support,none,no,none,no
89,[2019-06-13 16:08:31], <Pauline_Harceleu>, ce serai pas une grande perte ,bully,victim,no,denigration,no
90,[2019-06-13 16:08:33], <Lucas_soutiendel>, Tg Thérèsa ,victim_support,bully_support,no,aggression-other,no
91,[2019-06-13 16:08:37], <Jenny_concil>, non mais François moi et pierre on est là allez c'est qu'une photo tu t'en fiches de pauline t'es fou,conciliator,none,no,none,no
92,[2019-06-13 16:08:40], <pierre_defenseur>, mais bien sur que si 🙄puis tait toi theresa toi t'es juste un petit toutou derrière pauline qui se cache derrière son ordi ,victim_support,bully_support,no,denigration,no
93,[2019-06-13 16:08:51], <Jenny_concil>, tu vas pas gâcher ta vie juste à cause d'idiots,conciliator,none,no,none,no
94,[2019-06-13 16:08:57], <Lucas_soutiendel>, Deja a partir du moment ou tu t'appelles Thérésa t'as pas le droit a la parole,victim_support,bully_support,no,denigration,no
95,[2019-06-13 16:09:07], <pierre_defenseur>, les ecoutes pas c juste des gros cons ,victim_support,bully_support,no,name_calling,no
96,[2019-06-13 16:09:17], <Theresa_SoutienH>, Vs exagérez,bully_support,none,no,none,no
97,[2019-06-13 16:09:22], <Jenny_concil>, popoopooo Lucas yessss,conciliator,none,no,none,no
98,[2019-06-13 16:09:28], <Theo_SoutienH>, en parlant de gros ,bully_support,victim,no,aggression-other,no
99,[2019-06-13 16:09:32], <Jenny_concil>, bah c'est ce que vous faites ,conciliator,none,no,none,no
100,[2019-06-13 16:09:35], <Pauline_Harceleu>, bon francois on attend ta reponse pour l'immeuble,bully,victim,no,aggression-other,no
101,[2019-06-13 16:09:58], <Lucas_soutiendel>, Pauline t'abuses arrete toi srx,victim_support,none,no,none,no
102,[2019-06-13 16:10:06], <Jenny_concil>, vous voulez qu'on mette une photo de vous au pire de vous ? allez c'est bon là c'est fini,conciliator,none,no,none,no
103,[2019-06-13 16:10:09], <Theresa_SoutienH>, C'est vrai qu'on force peut etre un peu mais c'est si drole,bully_support,none,no,none,no
104,[2019-06-13 16:10:12], <pierre_defenseur>, je sis dd'aéccord c'est pas drole ferme la ,victim_support,bully,no,aggression-other,no
105,[2019-06-13 16:10:18], <Lucas_soutiendel>, laisse le il t a rien fait supprime la taphoto,victim_support,none,no,none,no
106,[2019-06-13 16:10:38], <pierre_defenseur>, TU M'EXPLIQUE CE QU'IL Y A DE DROLE LA DEDANS ?!!!!,victim_support,none,no,none,no
107,[2019-06-13 16:10:50], <Lucas_soutiendel>, y a rien de drole Theresa,victim_support,none,no,none,no
108,[2019-06-13 16:10:50], <Theo_SoutienH>, elle nous fait tellement rire ,bully_support,none,no,none,no
109,[2019-06-13 16:10:53], <_Francoisvictim>, bon bah ok j'ai compris,victim,none,no,none,no
110,[2019-06-13 16:10:59], <_Francoisvictim>, plus personne ne veut de moi...,victim,none,no,none,no
111,[2019-06-13 16:11:10], <Lucas_soutiendel>, si moi je veux de toi Francois ok,victim_support,none,no,none,no
112,[2019-06-13 16:11:22], <Lucas_soutiendel>, et plein d autres personnes aussi,victim_support,none,no,none,no
113,[2019-06-13 16:11:31], <Theo_SoutienH>, c'est un cadeau empoisonné ,bully_support,victim,no,denigration,no
114,[2019-06-13 16:11:34], <pierre_defenseur>, mais non francois les ecoutes pas c eux les nuls ils ont que ca a faire de leur vie ,victim_support,none,no,none,no
115,[2019-06-13 16:11:39], <Theresa_SoutienH>, On a besoin de toi Francois,bully_support,victim,no,denigration,yes
116,[2019-06-13 16:11:45], <Pauline_Harceleu>, Okkkk cest bon vous me faites chier je vais poster encore plus de photo de mon petit cheri francois,bully,none,no,none,no
117,[2019-06-13 16:11:53], <_Francoisvictim>, petasse...,victim,bully,no,name_calling,no
118,[2019-06-13 16:11:58], <Theresa_SoutienH>, Ouaaaissssss,bully_support,none,no,none,no
119,[2019-06-13 16:12:03], <Lucas_soutiendel>, Theo la prochaine fois que tu dis un truc pareil je te fais gouter au tarmac c bon ?,victim_support,bully_support,no,threat,no
120,[2019-06-13 16:12:06], <pierre_defenseur>, mais va te faire voir pauline ,victim_support,bully,no,aggression-other,no
121,[2019-06-13 16:12:09], <_Francoisvictim>, tu peux bien aller te faire foutre,victim,bully,no,aggression-other,no
122,[2019-06-13 16:12:13], <Theresa_SoutienH>, Vas-y continue Francois,bully_support,none,no,none,no
123,[2019-06-13 16:12:32], <Theo_SoutienH>, de notre point de vue c'est quand meme vachement drole ,bully_support,none,no,none,no
124,[2019-06-13 16:12:33], <Theresa_SoutienH>, Le mal est fait mon pote,bully_support,none,no,none,no
125,[2019-06-13 16:12:40], <Lucas_soutiendel>, et meme n importe qui d autre qui parle mal de Francois,victim_support,none,no,none,no
126,[2019-06-13 16:12:47], <Pauline_Harceleu>, et ouais les gars,bully,none,no,none,no
127,[2019-06-13 16:12:56], <pierre_defenseur>, ok alors explique moi 2 secondes ce qu'il y a de drole ??!,victim_support,none,no,none,no
128,[2019-06-13 16:12:57], <Lucas_soutiendel>, Mon poing dans ta gueule va etre tout aussi drole Théo,victim_support,none,no,threat,no
129,[2019-06-13 16:13:01], <_Francoisvictim>, de toute facon vous 2 je vous reglerais votre compte,victim,none,no,threat,no
130,[2019-06-13 16:13:14], <Lucas_soutiendel>, francois reste calme,victim_support,none,no,none,no
131,[2019-06-13 16:13:15], <Theresa_SoutienH>, Et comment tu vas t'y prendre l'obèse ?,bully_support,victim,no,denigration,no
132,[2019-06-13 16:13:19], <Jenny_concil>, allez FRANCOIS ,conciliator,none,no,none,no
133,[2019-06-13 16:13:23], <Lucas_soutiendel>, oh,victim_support,none,no,none,no
134,[2019-06-13 16:13:28], <Lucas_soutiendel>, fermez la srx,victim_support,none,no,none,no
135,[2019-06-13 16:13:30], <pierre_defenseur>, mais fermez la !!!,victim_support,none,no,none,no
136,[2019-06-13 16:13:30], <Theo_SoutienH>, tu peux pas courir 2 secs sans etre essoufle,bully_support,victim,no,denigration,no
137,[2019-06-13 16:13:34], <Jenny_concil>, theresa t'es un ficello juste tais toi,conciliator,bully_support,no,denigration,no
138,[2019-06-13 16:13:36], <Pauline_Harceleu>, mdrr tu vas regler rie,bully,none,no,none,yes
139,[2019-06-13 16:13:55], <Theo_SoutienH>, si il sait manger ,bully_support,none,no,none,yes
140,[2019-06-13 16:14:01], <Theresa_SoutienH>, Si pauline,bully_support,none,no,none,no
141,[2019-06-13 16:14:02], <Lucas_soutiendel>, Et ta mere elle peut courir 2sec aussi sans etre essoufles?,victim_support,bully_support,no,aggression-other,no
142,[2019-06-13 16:14:09], <Jenny_concil>, toi tu sais que être méchante ma pauvre je t'imaginais pas comme ça franchement pauline le karma va se retourner ,conciliator,none,no,none,no
143,[2019-06-13 16:14:30], <Lucas_soutiendel>, j'avoue,victim_support,none,no,none,no
144,[2019-06-13 16:14:30], <Theresa_SoutienH>," Qui dit ""karma"" ?? Loolllllllll",bully_support,none,no,none,yes
145,[2019-06-13 16:14:39], <Pauline_Harceleu>, lol,bully,none,no,none,yes
146,[2019-06-13 16:14:40], <Pauline_Harceleu>, lol,bully,none,no,none,yes
147,[2019-06-13 16:14:41], <Pauline_Harceleu>, lol,bully,none,no,none,yes
148,[2019-06-13 16:14:43], <Pauline_Harceleu>, lol,bully,none,no,none,yes
149,[2019-06-13 16:14:46], <Theresa_SoutienH>, Lol,bully_support,none,no,none,yes
150,[2019-06-13 16:14:47], <Theo_SoutienH>, il va carrément rebondir sur lui ,bully_support,victim,yes,denigration,yes
151,[2019-06-13 16:14:49], <Pauline_Harceleu>, lol,bully,none,no,none,yes
152,[2019-06-13 16:14:53], <_Francoisvictim>, tkt la police saura etre plus efficace que moi,victim,none,no,none,no
153,[2019-06-13 16:15:09], <Jenny_concil>, qui se moque encore ?,conciliator,none,no,none,no
154,[2019-06-13 16:15:13], <Lucas_soutiendel>, bien dit§,victim_support,none,no,none,no
155,[2019-06-13 16:15:19], <Theresa_SoutienH>, Vas- y essaye toujours,bully_support,none,no,none,no
156,[2019-06-13 16:15:31], <Theo_SoutienH>, meme la police va rigoler à ce niveau la ,bully_support,none,no,none,no
157,[2019-06-13 16:15:34], <Pauline_Harceleu>, bon francois.... jai pas eu ta reponse pour l'imeuble mdrrrrr,bully,victim,no,aggression-other,yes
158,[2019-06-13 16:15:39], <Jenny_concil>, t'inquiète pas que tu regretteras bien  theresa,conciliator,none,no,threat,no
159,[2019-06-13 16:15:44], <pierre_defenseur>, ca vous avance a quoi de faire des choses comme ca ?? vous pensez etre superieurs mais vous etes juste des petites merdes ,victim_support,bully/bully_support,no,name_calling,no
160,[2019-06-13 16:15:54], <_Francoisvictim>, pauline: quand on est une suceuse,victim,bully,no,name_calling,no
161,[2019-06-13 16:15:57], <Jenny_concil>, pauline arrête sérieux,conciliator,none,no,none,no
162,[2019-06-13 16:16:09], <Theresa_SoutienH>, Les flics c des merdes il nous retrouveront jamais je suis sous VPN MDRRRRRR,bully_support,victim,no,denigration,yes
163,[2019-06-13 16:16:09], <Theo_SoutienH>, avec 150 KG de moins que lui ,bully_support,victim,no,denigration,no
164,[2019-06-13 16:16:22], <Pauline_Harceleu>, mdrrr cest toi le petit puceau fragile qui parle,bully,victim,no,denigration,yes
165,[2019-06-13 16:16:30], <pierre_defenseur>, ah bon ?? et ben pas pauline ,victim_support,none,no,none,no
166,[2019-06-13 16:16:31], <Jenny_concil>, gros lol ils te trouveront t'inquiète ,conciliator,none,no,none,no
167,[2019-06-13 16:16:50], <Jenny_concil>, reflechissez-y vraiment ? vous aimez harcelez les gens ?,conciliator,none,no,none,no
168,[2019-06-13 16:17:00], <Theresa_SoutienH>, En fait jai changé d'avis.,bully_support,none,no,none,no
169,[2019-06-13 16:17:07], <Theresa_SoutienH>, Je suis désolé,bully_support,none,no,none,no
170,[2019-06-13 16:17:09], <Theo_SoutienH>, c'est plus une blague que du harcelement ,bully_support,none,no,none,no
171,[2019-06-13 16:17:10], <Jenny_concil>, vous avez pas plutôt envie de sortir et arrêtez d'être des débiles .,conciliator,bully/bully_support,no,denigration,no
172,[2019-06-13 16:17:11], <Lucas_soutiendel>, CA VOUS PLAIT DE FAIRE SOUFFRIR DES PERSONNES ,victim_support,none,no,none,no
173,[2019-06-13 16:17:12], <Jenny_concil>, ?,conciliator,none,no,none,no
174,[2019-06-13 16:17:15], <Theo_SoutienH>, vous abusez ,bully_support,none,no,none,no
175,[2019-06-13 16:17:19], <pierre_defenseur>, tkt pauline tu vas avoir ce que tu merites,victim_support,none,no,threat,no
176,[2019-06-13 16:17:21], <Theresa_SoutienH>, TU PEUX SAUTER FRANCOIS FAIS TOI PLAISIR,bully_support,victim,no,aggression-other,no
177,[2019-06-13 16:17:30], <_Francoisvictim>, :(,victim,none,no,none,no
178,[2019-06-13 16:17:34], <Pauline_Harceleu>, mdrrrr,bully,none,no,none,yes
179,[2019-06-13 16:17:37], <Lucas_soutiendel>, ta blague tu te la fous ou je pense Theo,victim_support,none,no,none,no
180,[2019-06-13 16:17:40], <Pauline_Harceleu>, bien dit theresa,bully,none,no,none,no
181,[2019-06-13 16:17:46], <Jenny_concil>, abusez de quoi ,conciliator,none,no,none,no
182,[2019-06-13 16:17:56], <Theo_SoutienH>, ça va etre dangereux à son atterrissage ,bully_support,victim,no,denigration,yes
183,[2019-06-13 16:18:14], <Lucas_soutiendel>, Theresa et Pauline vous allez avoir des problemes,victim_support,none,no,none,no
184,[2019-06-13 16:18:17], <Pauline_Harceleu>, oui mdrr faut pas qui tu des gens en bas,bully,victim,no,denigration,yes
185,[2019-06-13 16:18:18], <Jenny_concil>, François les ecoute pas,conciliator,none,no,none,no
186,[2019-06-13 16:18:19], <_Francoisvictim>, theo: fais gaffe a ton cul,victim,bully_support,no,threat,no
187,[2019-06-13 16:18:27], <Lucas_soutiendel>, avec moi et avec des adultes,victim_support,none,no,none,no
188,[2019-06-13 16:18:30], <_Francoisvictim>, je peux très tomber sur toi s'il faut tocard,victim,bully_support,no,name_calling,no
189,[2019-06-13 16:18:35], <pierre_defenseur>, juste 1 question est repondez-y : ca vous apporte quoi de faire ca ?,victim_support,none,no,none,no
190,[2019-06-13 16:18:36], <_Francoisvictim>, très bbien*,victim,none,no,none,no
191,[2019-06-13 16:18:45], <Jenny_concil>, vous aimeriez que tout le monde se moque de vous ,conciliator,none,no,none,no
192,[2019-06-13 16:18:50], <Theresa_SoutienH>, C'est juste trop fun,bully_support,none,no,none,no
193,[2019-06-13 16:19:13], <Lucas_soutiendel>, je connais d autres funs vous avez pas besoin de faire ca ,victim_support,none,no,none,no
194,[2019-06-13 16:19:21], <Lucas_soutiendel>, vous etes tombes tellement bas,victim_support,none,no,none,no
195,[2019-06-13 16:19:27], <Theresa_SoutienH>, Donc tu sous-entends que tu vas sauter Francois? YESSSS,bully_support,victim,no,denigration,no
196,[2019-06-13 16:19:28], <Jenny_concil>, tu t'es vu Theresa ,conciliator,bully_support,no,denigration,no
197,[2019-06-13 16:19:28], <Pauline_Harceleu>, pierre ca te fais pas kiffer de voir ce genre de petites merdes pleurer ,bully,victim,no,denigration,no
198,[2019-06-13 16:19:30], <pierre_defenseur>, il est ou le fun ??? Y'A QUOI DE FUN DANS LE FAIT DE FAIRE SOUFFIR UNE PERSONNE EN SE MOQUANT D'ELLE ????!!!!,victim_support,none,no,none,no
199,[2019-06-13 16:19:57], <Jenny_concil>, pleurer ? qui dit qu'il pleure ?,conciliator,none,no,none,no
200,[2019-06-13 16:20:02], <pierre_defenseur>, pk ca me ferais kiffer ?!!,victim_support,none,no,none,no
201,[2019-06-13 16:20:05], <Theresa_SoutienH>, C'est la loi du plus fort,bully_support,none,no,none,no
